"CaseNr","Subject","Partner","Reconci","Affilia","Support","ConfInt","ConfDur","Context","RankDif","Latency","PartSex","RconDur","RenewAg","IniCnfl","IniReco","TimToRA"
250,"Ash","Nan",0,"Weak","no","NonPhys","91","Other","s",NA,NA,NA,0,"Subject","None",NA
251,"Eli","Mic",0,"Strong","no","NonPhys","23","Other","s",NA,"Female",NA,0,"Subject","None",NA
252,"Eli","Josh",1,"Strong","no","Physical","2","Other","l",1,"Male","35,0",0,"Partner","Partner",NA
253,"Emi","Wil",1,"Average","no","NonPhys","1","Other","s",1,"Female","16,0",0,"Subject","Partner",NA
254,"Emi","Dav",0,"Strong","no","NonPhys","6","Other","m",NA,"Female",NA,0,"Subject","None",NA
255,"Mary","Joh",0,"Average","no","NonPhys","4","Other","s",NA,"Female",NA,0,"Subject","None",NA
256,"Mary","Lin",0,"Average","no","NonPhys","1","Other","n",NA,"Female",NA,0,"Partner","None",NA
257,"Mary","Lin",0,"Average","no","NonPhys","16","Other","m",NA,"Female",NA,0,"Partner","None",NA
258,"Marg","Cha",0,"Weak","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
259,"Lis","Chr",0,"Weak","no","NonPhys","4","Sex","m",NA,"Female",NA,0,"Subject","None",NA
260,"Mary","DonF",0,"Average","no","NonPhys","8","Other","l",NA,"Male",NA,0,"Partner","None",NA
261,"Mary","Jen",0,"Weak","no","NonPhys","3","Other","s",NA,"Female",NA,0,"Partner","None",NA
262,"Mary","Josh",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
263,"Marg","Tim",0,"Weak","no","NonPhys","95","Other","l",NA,"Female",NA,0,"Subject","None",NA
264,"Marg","Ric",0,"Weak","no","NonPhys","21","Other","l",NA,"Female",NA,0,"Subject","None",NA
265,"Marg","Pau",1,"Strong","no","NonPhys","181","Food","m",1,"Female","143,0",0,"Partner","Subject",NA
266,"Marg","Josh",0,"Strong","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
267,"Marg","Mic",1,"Average","no","NonPhys","1","Other","m",1,"Female","24,0",0,"Partner","Subject",NA
268,"Mary","Mic",1,"Average","yes","NonPhys","2","Other","m",1,"Female","33,0",1,"Partner","beide",834
269,"Mary","Ama",0,"Weak","no","NonPhys","2","Food","l",NA,"Male",NA,0,"Partner","None",NA
270,"Mary","Lin",0,"Average","no","NonPhys","6","Food","m",NA,"Female",NA,0,"Partner","None",NA
271,"Mary","Mic",1,"Average","yes","Physical","1","Other","m",1,"Female","31,0",0,"Partner","Subject",NA
272,"Mary","Mic",1,"Average","yes","Physical","1","Other","m",1,"Female","224,0",1,"Partner","Subject",234
273,"Mary","Mic",0,"Average","yes","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
274,"Ash","Mic",1,"Weak","no","NonPhys","1","Other","l",1,"Female","12,0",1,"Partner","Partner",454
275,"Ash","Mic",0,"Weak","no","NonPhys","18","Other","l",27,"Female",NA,0,"Partner","None",NA
276,"Marg","Kar",0,"Weak","no","NonPhys","3","Other","s",NA,"Female",NA,0,"Subject","None",NA
277,"Marg","Mat",1,"Strong","yes","NonPhys","2","Other","l",191,"Male","182,0",0,"Subject","beide",NA
278,"Marg","Car",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
279,"Marg","Mark",1,"Average","no","NonPhys","1","Other","l",136,"Male","1,0",0,"Partner","Subject",NA
280,"Marg","Mic",0,"Average","no","NonPhys","2","Sex","m",NA,"Female",NA,0,"Partner","None",NA
281,"Marg","Bri",1,"Strong","no","NonPhys","39","Other","s",1,"Female","1,0",0,"beide","Partner",NA
282,"Ash","And",1,"Strong","y","NonPhys","1","Other","s",1,"Female","2,0",1,"Partner","Partner",67
283,"Ash","And",0,"Strong","yes","NonPhys","1","Other","s",NA,"Female",NA,0,"Partner","None",NA
284,"Ash","Ken",1,"Strong","no","NonPhys","4","Other","l",251,"Male","393,0",0,"Partner","Subject",NA
285,"Eli","Dan",0,"Average","yes","NonPhys","11","Other","l",NA,"Male",NA,0,"Partner","None",NA
286,"Eli","Bar",1,"Strong","no","NonPhys","62","Other","l",88,"Male","559,0",0,"Subject","Subject",NA
287,"Lis","Step",1,"Weak","no","NonPhys","16","Other","l",2,"Male","16,0",0,"Subject","beide",NA
288,"Deb","Ric",1,"Weak","no","NonPhys","3","Other","l",3,"Female","2,0",0,"Subject","Partner",NA
289,"Bet","Tim",0,"Weak","no","NonPhys","1","Food","l",NA,"Female",NA,0,"Subject","None",NA
290,"Mary","Mic",0,"Average","yes","NonPhys","21","Other","m",NA,"Female",NA,0,"Partner","None",NA
291,"Mary","DonF",0,"Average","no","NonPhys","5","Other","l",NA,"Male",NA,0,"Partner","None",NA
292,"Mary","Ama",0,"Weak","no","NonPhys","1","Food","l",NA,"Male",NA,1,"Partner","None",163
293,"Mary","Mat",1,"Strong","yes","NonPhys","1","Food","l",1,"Male","9,0",1,"Partner","Subject",729
294,"Mary","Mary",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
295,"Mary","Ama",0,"Weak","no","NonPhys","3","Food","l",NA,"Male",NA,0,"Partner","None",NA
296,"Mary","Mat",0,"Strong","yes","NonPhys","2","Other","l",NA,"Male",NA,0,"Partner","None",NA
297,"Ash","Joh",1,"Average","yes","NonPhys","2","Other","m",1,"Female","102,0",0,"Partner","Partner",NA
298,"Mary","Lin",0,"Average","no","NonPhys","6","Food","m",NA,"Female",NA,0,"Subject","None",NA
299,"Ash","Lin",0,"Strong","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
300,"Ash","San",1,"Average","no","NonPhys","325","Other","m",561,"Female","319,0",0,"Partner","Partner",NA
301,"Lis","Ant",0,"Average","no","NonPhys","115","Other","l",NA,NA,NA,0,"Partner","None",NA
302,"Lis","Stev",0,"Average","yes","NonPhys","2","Other","l",NA,"Male",NA,0,"Partner","None",NA
303,"Marg","Car",0,"Average","no","NonPhys","36","Other","l",NA,"Female",NA,0,"Partner","None",NA
304,"Marg","Chr",1,"Average","no","NonPhys","1","Other","m",1,"Female","1,0",0,"Partner","Subject",NA
305,"Marg","Tho",0,"Average","no","NonPhys","83","Other","l",NA,"Male",NA,0,"Partner","None",NA
306,"Emi","Car",0,"Strong","no","NonPhys","15","Other","l",NA,"Female",NA,0,"Partner","None",NA
307,"Eli","Mat",0,"Average","no","NonPhys","1","Sex","l",NA,"Male",NA,0,"Partner","None",NA
308,"Lis","Wil",0,"Average","no","NonPhys","2","Food","m",NA,"Female",NA,1,"Subject","None",305
309,"Lis","Wil",0,"Average","no","NonPhys","1","Food","m",NA,"Female",NA,0,"Subject","None",NA
310,"Lis","Mel",0,"Strong","no","NonPhys","5","Other","l",NA,"Female",NA,0,"Subject","None",NA
311,"Lis","Wil",1,"Average","no","NonPhys","72","Other","m",1,"Female","141,0",0,"Subject","Subject",NA
312,"Ash","San",1,"Average","no","NonPhys","2","Other","m",2,"Female","8,0",0,"Partner","Subject",NA
313,"Ash","Ama",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
314,"Ash","DonF",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
315,"Emi","Tim",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
316,"Mary","Ama",1,"Weak","no","NonPhys","2","Other","l",239,"Male","441,0",0,"Partner","Subject",NA
317,"Mary","Car",1,"Strong","yes","NonPhys","6","Other","m",1,"Female","3,0",0,"Partner","Subject",NA
318,"Mary","Tim",1,"Strong","no","NonPhys","1","Other","l",2,"Female","184,0",1,"Subject","Subject",317
319,"Mary","Tim",1,"strong","no","NonPhys","1","Other","l",1,"Female","426,0",0,"Subject","Partner",NA
320,"Mary","Car",1,"Strong","yes","NonPhys","6","Other","m",1,"Female","3,0",0,"Subject","Partner",NA
321,"Mary","Lin",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
322,"Emi","Wil",0,"Average","no","NonPhys","2","Other","s",NA,"Female",NA,0,"Partner","None",NA
323,"Ash","Jen",0,"Weak","no","NonPhys","11","Other","l",NA,"Female",NA,0,"Partner","None",NA
324,"Ash","Cha",1,"Average ","no","NonPhys","14","Other","s",1,"Female","11,0",0,"Partner","Partner",NA
325,"Deb","Cha",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
326,"Bet","Tim",0,"Weak","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Subject","None",NA
327,"Lis","Joh",1,"Strong","n","NonPhys","3","Other","m",1,"Female","3,0",0,"Subject","Partner",NA
328,"Marg","Mic",1,"Average","no","Physical","1","Other","m",1,"Female","531,0",0,"Partner","Partner",NA
329,"Marg","Wil",0,"Average","no","NonPhys","40","Other","m",NA,"Female",NA,0,"Partner","None",NA
330,"Marg","Bri",0,"Strong","no","NonPhys","2","Food","s",NA,"Female",NA,0,"Partner","None",NA
331,"Marg","Mat",1,"Strong","yes","NonPhys","1","Sex","l",1,"Male","156,0",0,"Partner","Subject",NA
332,"Emi","Bri",0,"Average","no","NonPhys","5","Other","s",NA,"Female",NA,0,"Subject","None",NA
333,"Emi","Dan",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
334,"Deb","Wil",0,"Weak","no","NonPhys","9","Other","m",NA,"Female",NA,0,"Subject","None",NA
335,"Deb","Ama",0,"Average","no","NonPhys","6","Other","l",NA,"Male",NA,0,"Partner","None",NA
336,"Ash","Cha",0,"Average","no","NonPhys","1","Other","s",NA,"Female",NA,0,"Subject","None",NA
337,"Ash","Ken",0,"Strong","no","NonPhys","17","Other","l",NA,"Male",NA,0,"Partner","None",NA
338,"Ash","And",0,"Strong","yes","NonPhys","6","Other","s",NA,"Female",NA,0,"Partner","None",NA
339,"Ash","Nan",0,"Weak","no","NonPhys","1","Other","s",NA,"Female",NA,0,"Subject","None",NA
340,"Marg","Pau",1,"Strong","no","NonPhys","3","Other","m",1,"Female","51,0",1,"Subject","Subject",254
341,"Marg","Josh",0,"Strong","no","NonPhys","70","Other","l",NA,"Male",NA,0,"Partner","None",NA
342,"Marg","Pau",0,"Strong","no","NonPhys","7","Other","m",NA,"Female",NA,0,"Partner","None",NA
343,"Eli","San",0,"Weak","no","NonPhys","2","Other","m",NA,"Female",NA,0,"beide","None",NA
344,"Ash","And",1,"Strong","yes","NonPhys","146","Other","s",1,"Female","2,0",0,"Partner","Subject",NA
345,"Emi","Lin",0,"Strong","no","NonPhys","1","Other","m",NA,"Female",NA,1,"Partner","None",202
346,"Emi","Lin",0,"Strong","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
347,"Emi","Wil",0,"Average","no","NonPhys","3","Other","s",NA,"Female",NA,0,"Partner","None",NA
348,"Eli","Mic",0,"Strong","no","NonPhys","6","Other","s",NA,"Female",NA,0,"Partner","None",NA
349,"Eli","San",0,"Weak","no","NonPhys","3","Food","m",NA,"Female",NA,0,"Subject","None",NA
350,"Mary","Ama",1,"Weak","no","NonPhys","13","Sex","l",23,"Male","286,0",0,"Partner","Subject",NA
351,"Mary","Car",0,"Strong","yes","NonPhys","5","Other","m",NA,"Female",NA,0,"Partner","None",NA
352,"Mary","DonF",0,"Average","no","NonPhys","8","Other","l",NA,"Male",NA,0,"Partner","None",NA
353,"Mary","Joh",1,"Average","no","NonPhys","1","Other","s",1,"Female","5,0",0,"Subject","Partner",NA
354,"Ash","Kim",0,"Average","no","NonPhys","3","Other","m",NA,"F",NA,1,"Subject","None",483
355,"Ash","Nan",0,"Weak","no","NonPhys","26","Other","m",NA,"Female",NA,1,"Subject","None",362
356,"Ash","Kim",0,"Average","no","NonPhys","3","Other","m",NA,"Female",NA,0,"Subject","None",NA
357,"Ash","San",1,"Average","no","NonPhys","5","Other","m",18,"Female","2,0",0,"Subject","Subject",NA
358,"Ash","Nan",0,"Weak","no","NonPhys","5","Food","s",NA,"Female",NA,0,"Subject","None",NA
359,"Lis","Wil",0,"Average","no","NonPhys","1","Food","m",NA,"Female",NA,1,"Subject","None",467
360,"Lis","Wil",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Subject","None",NA
361,"Marg","Mat",1,"Strong","yes","NonPhys","1","Other","l",1,"Male","58,0",0,"Partner","Partner",NA
362,"Marg","Chr",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
363,"Ash","Jos",0,"Weak","no","NonPhys","2","Food","m",NA,"Female",NA,0,"Partner","None",NA
364,"Ash","Mic",0,"Weak","no","NonPhys","2","Food","l",NA,"Female",NA,0,"Partner","None",NA
365,"Mary","Dav",0,"Average","yes","NonPhys","1","Sex","m",NA,"Female",NA,0,"Subject","None",NA
366,"Eli","San",1,"Weak","no","NonPhys","1","Other","m",1,"Female","1,0",0,"Subject","Partner",NA
367,"Eli","Step",1,"Average","no","NonPhys","1","Other","l",0,"Male","1,0",0,"Partner","Subject",NA
368,"Eli","Mel",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
369,"Marg","Dan",0,"Weak","no","NonPhys","2","Food","l",NA,"Male",NA,0,"Partner","None",NA
370,"Marg","Joh",1,"Strong","no","NonPhys","5","Other","m",1,"Female","5,0",0,"Partner","Partner",NA
371,"Bet","Step",0,"Weak","no","NonPhys","39","Other","l",NA,"Male",NA,0,"beide","None",NA
372,"Deb","Mark",1,"Strong","no","NonPhys","1","Other","l",1,"Male","3,0",0,"Subject","Partner",NA
373,"Emi","Ant",0,"Average","no","NonPhys","12","Other","l",NA,"Male",NA,0,"beide","None",NA
374,"Emi","Josh",0,"Average","yes","NonPhys","13","Other","l",NA,"Male",NA,0,"Partner","None",NA
375,"Emi","Ama",0,"Strong","no","NonPhys","4","Other","l",NA,"Male",NA,0,"Partner","None",NA
376,"Mary","Tim",1,"Strong","no","NonPhys","2","Other","l",1,"Female","14,0",0,"Subject","Partner",NA
377,"Deb","Car",0,"Strong","no","NonPhys","5","Other","m",NA,"Female",NA,0,"beide","None",NA
378,"Deb","Josh",1,"Average","no","NonPhys","2","Food","l",2,"Male","1,0",0,"Partner","Subject",NA
379,"Deb","Cha",0,"Average","no","NonPhys","1","Food","l",NA,"Female",NA,0,"Subject","None",NA
380,"Deb","And",0,"Weak","no","NonPhys","18","Food","l",NA,"Female",NA,1,"Subject","None",213
381,"Deb","And",0,"Weak","no","NonPhys","1","Food","l",NA,"Female",NA,0,"Subject","None",NA
382,"Deb","Chr",1,"Average","yes","NonPhys","2","Food","s",9,"Female","39,0",0,"Subject","Partner",NA
383,"Bet","Tim",0,"Weak","no","NonPhys","6","Food","l",NA,"Female",NA,0,"Subject","None",NA
384,"Bet","And",0,"Weak","no","NonPhys","33?","Other","l",NA,"Female",NA,1,"beide","None",432
385,"Bet","And",0,"Weak","no","NonPhys","12","Food","l",NA,"Female",NA,0,"Subject","None",NA
386,"Mary","Sar",1,"Strong","yes","NonPhys","1","Other","l",1,"Male","3,0",0,"Partner","Partner",NA
387,"Mary","Mel",1,"Average","yes","NonPhys","1","Other","l",1,"Female","9,0",0,"Subject","Partner",NA
388,"Mary","Mat",0,"Strong","yes","NonPhys","4","Other","l",NA,"Male",NA,0,"Partner","None",NA
389,"Mary","Car",1,"Strong","yes","Physical","7","Other","m",0,"Female","163,0",0,"Subject","Partner",NA
390,"Marg","Sar",0,"Weak","no","NonPhys","2","Sex","l",NA,"Male",NA,0,"Partner","None",NA
391,"Marg","Nan",0,"Weak","no","NonPhys","6","Other","l",NA,"Female",NA,0,"Subject","None",NA
392,"Marg","Mic",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
393,"Bet","Chr",0,"Weak","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
394,"Lis","Pau",0,"Weak","n","NonPhys","5","Other","m",NA,NA,NA,0,"Subject","None",NA
395,"Lis","Mark",0,"Average","no","NonPhys","30","Other","l",NA,"Male",NA,0,"Partner","None",NA
396,"Emi","Dav",1,"Strong","no","NonPhys","2","Other","m",1,"Female","209,0",0,"Subject","Partner",NA
397,"Marg","Pau",0,"Strong","no","NonPhys","6","Other","m",NA,"Female",NA,0,"Partner","None",NA
398,"Marg","Joh",0,"Strong","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
399,"Eli","Sus",0,"Weak","no","NonPhys","1","Other","m",NA,"Female",NA,1,"Partner","None",268
400,"Eli","Sus",0,"Weak","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
401,"Ash","Kim",1,"Average","no","NonPhys","31","Other","m",0,"Female","2,0",0,"Subject","Partner",NA
402,"Ash","Kim",1,"Average","no","NonPhys","1","Other","m",1,"Female","541,0",1,"Subject","Partner",774
403,"Ash","Kim",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
404,"Ash","And",1,"Strong","yes","Physical","2","Other","s",1,"Female","5,0",0,"Partner","Partner",NA
405,"Mary","Sar",1,"Strong","yes","NonPhys","5","Other","l",1,"Male","5,0",0,"Partner","Subject",NA
406,"Mary","Dan",0,"Average","yes","NonPhys","16","Other","l",NA,"Male",NA,0,"Partner","None",NA
407,"Mary","Chr",0,"Weak","no","NonPhys","10","Sex","m",NA,"Female",NA,0,"Partner","None",NA
408,"Mary","Lin",1,"Average","no","Physical","2","Other","m",1,"Female","61,0",0,"Partner","Partner",NA
409,"Mary","Mark",1,"Strong","yes","NonPhys","1","Other","l",6,"Male","1,0",0,"Partner","Partner",NA
410,"Mary","Sus",0,"Average","yes","NonPhys","1","Sex","l",NA,"Female",NA,0,"Subject","None",NA
411,"Deb","Cha",0,"average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
412,"Eli","Bri",1,"Strong","no","NonPhys","60","Other","m",27,"Female","97,0",0,"Subject","Subject",NA
413,"Ash","Chr",0,"Weak","n","NonPhys","4","Other","l",NA,"Female",NA,0,"Subject","None",NA
414,"Mary","Kev",0,"Average","yes","NonPhys","2","Sex","l",NA,NA,NA,0,"Partner","None",NA
415,"Mary","Dan",0,"Average","yes","NonPhys","1","Sex","l",NA,"Male",NA,0,"Partner","None",NA
416,"Emi","Kev",1,"Strong","yes","NonPhys","23","Other","l",329,"Male","223,0",0,"Partner","Partner",NA
417,"Marg","And",0,"Weak","no","NonPhys","27","Other","l",NA,"Female",NA,0,"Partner","None",NA
418,"Eli","Mit",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
419,"Bet","Pau",0,"Weak","no","Physical","14","Other","m",NA,"Female",NA,0,"Subject","None",NA
420,"Bet","Tim",0,"Weak","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Subject","None",NA
421,"Lis","Sus",0,"Weak","yes","NonPhys","1","Other","s",NA,"Female",NA,0,"Partner","None",NA
422,"Marg","Car",0,"Average","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Partner","None",NA
423,"Marg","DonF",0,"Average","no","NonPhys","1","Food","l",NA,"Male",NA,1,"Partner","None",187
424,"Marg","DonF",0,"Average","no","NonPhys","1","Food","l",NA,"Male",NA,1,"Partner","None",178
425,"Marg","DonF",0,"Average","no","NonPhys","2","Food","l",NA,"Male",NA,0,"Partner","None",NA
426,"Ash","And",1,"Strong","yes","NonPhys","3","Sex","s",165,"Female","17,0",0,"Partner","Partner",NA
427,"Mary","Ama",0,"Weak","no","NonPhys","4","Sex","l",NA,"Male",NA,0,"Partner","None",NA
428,"Emi","Ama",0,"Strong","no","NonPhys","7","Other","l",NA,"Male",NA,0,"Partner","None",NA
429,"Emi","Jes",0,"Weak","yes","NonPhys","3","Other","l",NA,"Female",NA,0,"Subject","None",NA
430,"Ash","San",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,1,"Partner","None",274
431,"Ash","San",0,"Average","n","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
432,"Lis","Wil",0,"Average","no","NonPhys","4","Food","m",NA,"Female",NA,0,"Subject","None",NA
433,"Mary","Car",0,"Strong","yes","NonPhys","2","Other","m",NA,"Female",NA,1,"Partner","None",94
434,"Mary","Car",0,"Strong ","yes","NonPhys","2","Food","m",NA,"Female",NA,1,"Partner","None",84
435,"Mary","Car",0,"Strong","yes","NonPhys","3","Food","m",NA,"Female",NA,0,"Partner","None",NA
436,"Mary","Tim",1,"Strong","no","Physical","94","Other","l",1,"Female","63,0",0,"Subject","Subject",NA
437,"Mary","Mary",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,1,"Partner","None",156
438,"Mary","Ron",0,"Average","no","NonPhys","5","Other","l",NA,NA,NA,0,"Partner","None",NA
439,"Mary","Dan",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
440,"Emi","And",0,"Strong","yes","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
441,"Lis","Ant",1,"Average","no","Physical","3","Other","l",25,"Male","26,0",0,"Partner","Partner",NA
442,"Ash","Sar",1,"Strong","no","NonPhys","9","Other","l",58,"Male","2028,0",0,"Partner","Subject",NA
443,"Mary","Joh",0,"Average","no","NonPhys","1","Sex","s",NA,"Female",NA,0,"Subject","None",NA
444,"Mary","Mat",0,"Strong","yes","NonPhys","24","Sex","l",NA,"Male",NA,0,"Partner","None",NA
445,"Mary","Mark",0,"Strong","yes","NonPhys","27","Other","l",NA,"Male",NA,0,"Partner","None",NA
446,"Deb","Lin",0,"Weak","no","NonPhys","2","Other","s",NA,"Female",NA,0,"Subject","None",NA
447,"Marg","Ron",1,"Average","yes","NonPhys","1","Other","l",1,"Male","10,0",0,"Partner","Partner",NA
448,"Marg","Ant",0,"Strong","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
449,"Marg","Mark",0,"Average","no","NonPhys","1","Sex","l",NA,"Male",NA,0,"Partner","None",NA
450,"Marg","Ron",0,"Strong","yes","NonPhys","4","Other","l",NA,"M",NA,1,"Partner","None",1104
451,"Marg","Dan",0,"Weak","no","NonPhys","4","Sex","l",NA,"Male",NA,0,"Partner","None",NA
452,"Marg","Ron",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
453,"Ash","And",1,"Strong","yes","NonPhys","1","Other","s",1,"Female","2,0",0,"Partner","Subject",NA
454,"Mary","Ama",0,"Weak","no","NonPhys","1","Sex","l",NA,"Male",NA,0,"Partner","None",NA
455,"Emi","And",1,"Strong","yes","NonPhys","2","Other","m",1,"Female","1,0",0,"Subject","Subject",NA
456,"Bet","Joh",1,"Average","n","NonPhys","2","Other","m",0,"Female","2,0",1,"Subject","Partner",108
457,"Bet","Joh",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Subject","None",NA
458,"Emi","Chr",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
459,"Emi","And",1,"Strong","yes","NonPhys","2","Other","m",1,"Female","3,0",0,"Subject","Subject",NA
460,"Emi","Car",1,"Average","no","Physical","205","Other","l",62,"Female","278,0",0,"Subject","Subject",NA
461,"Marg","Josh",1,"Strong","no","NonPhys","1","Other","l",1,"Male","197,0",1,"Partner","Subject",619
462,"Marg","Josh",1,"Strong","no","NonPhys","1","Other","l",1,"Male","249,0",0,"Partner","Subject",NA
463,"Mary","Dav",1,"Average","yes","NonPhys","6","Other","m",0,"Female","98,0",1,"Subject","Subject",353
464,"Mary","Ama",0,"Weak","no","NonPhys","1","Sex","l",NA,"Male",NA,0,"Partner","None",NA
465,"Mary","Car",0,"Strong","yes","NonPhys","3","Other","m",NA,"Female",NA,0,"Partner","None",NA
466,"Mary","Dav",1,"Average","yes","NonPhys","2","Other","m",1,"Female","9,0",1,"Subject","Subject",27
467,"Mary","Dav",1,"Average","yes","NonPhys","2","Other","m",0,"Female","59,0",0,"Subject","Subject",NA
468,"Mary","Mic",0,"Average","yes","NonPhys","8","Sex","m",NA,"Female",NA,1,"Partner","None",40
469,"Mary","Ama",0,"Weak","no","NonPhys","1","Sex","l",NA,"Male",NA,1,"Partner","None",361
470,"Mary","Mic",0,"Average","yes","NonPhys","1","Sex","m",NA,"Female",NA,1,"Partner","None",269
471,"Mary","Mic",1,"Average","yes","NonPhys","2","Sex","m",9,"Female","16,0",0,"Partner","Partner",NA
472,"Mary","Ama",1,"Weak","no","NonPhys","20","Sex","l",80,"M","209,0",0,"Partner","Partner",NA
473,"Lis","Ama",0,"Strong","yes","NonPhys","4","Other","l",NA,"Male",NA,0,"Partner","None",NA
474,"Lis","Joh",0,"Strong","no","NonPhys","4","Other","m",NA,"Female",NA,1,"Subject","None",402
475,"Lis","Joh",1,"Strong","no","NonPhys","2","Other","m",2,"Female","2,0",0,"Subject","Partner",NA
476,"Mary","Dan",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Subject","None",NA
477,"Mary","Kev",0,"Average","yes","NonPhys","3","Sex","l",NA,"Male",NA,0,"Partner","None",NA
478,"Mary","Kev",0,"Average","yes","NonPhys","1","Sex","l",NA,"Male",NA,0,"Partner","None",NA
479,"Mary","Lin",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
480,"Mary","Ama",0,"Weak","no","NonPhys","379","Other","l",NA,"Male",NA,0,"Partner","None",NA
481,"Mary","Chr",0,"Weak","no","NonPhys","1","Sex","m",NA,"Female",NA,0,"Partner","None",NA
482,"Bet","Cha",0,"Average","no","NonPhys","6","Other","l",NA,"Female",NA,0,"Subject","None",NA
483,"Bet","DonM",1,"Weak","no","NonPhys","1","Other","l",1,"Male","13,0",0,"Partner","Partner",NA
484,"Bet","Joh",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
485,"Bet","Pau",0,"Weak","no","NonPhys","2","Food","m",NA,"Female",NA,0,"Subject","None",NA
486,"Bet","Chr",0,"Weak","no","NonPhys","4","Other","m",NA,"Female",NA,0,"Subject","None",NA
487,"Emi","Dav",0,"Strong","no","NonPhys","1","Food","m",NA,"Female",NA,0,"Subject","None",NA
488,"Emi","Bri",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
489,"Eli","Step",0,"Average","no","NonPhys","89","Other","l",NA,"Male",NA,0,"Partner","None",NA
490,"Eli","Mit",1,"Average","no","NonPhys","2","Other","l",12,"Female","141,0",0,"Subject","Partner",NA
491,"Marg","Bar",1,"Average","no","NonPhys","1","Other","l",2,"Male","1,0",0,"Partner","Partner",NA
492,"Mary","Kar",0,"Weak","no","NonPhys","32","Other","m",NA,"Female",NA,0,"Subject","None",NA
493,"Emi","Step",0,"Average","no","NonPhys","8","Other","l",NA,"Male",NA,0,"Partner","None",NA
494,"Emi","Ron",1,"Strong","no","NonPhys","15","Other","l",85,"Male","48,0",0,"Partner","Partner",NA
495,"Lis","Wil",0,"Average","no","NonPhys","43","Food","m",NA,"Female",NA,0,"Subject","None",NA
496,"Lis","Josh",0,"Average","yes","NonPhys","4","Other","l",NA,"Male",NA,0,"Partner","None",NA
497,"Eli","Chr",0,"Average","no","NonPhys","1","Other","s",NA,NA,NA,0,"Partner","None",NA
498,"Ash","Dav",0,"Weak ","no","NonPhys","7","Food","m",NA,"Female",NA,0,"Partner","None",NA
499,"Ash","San",1,"Average","no","NonPhys","5","Other","m",2,"Female","6,0",1,"Partner","Subject",62
500,"Ash","San",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
501,"Marg","Dan",0,"Weak","no","NonPhys","2","Other","l",NA,"Male",NA,0,"Partner","None",NA
