"CaseNr","Subject","Partner","Reconci","Affilia","Support","ConfInt","ConfDur","Context","RankDif","Latency","PartSex","RconDur","RenewAg","IniCnfl","IniReco","TimToRA"
57,"Bet","Dav",1,"Weak","no","NonPhys","1","Other","l",40,"Female","47,0",0,"Subject","Subject",NA
58,"Ash","Cha",1,"Average","no","NonPhys","14","Other","s",19,"Female","18,0",0,"Subject","Subject",NA
59,"Ash","San",0,"Average","no","NonPhys","10","Other","m",NA,"Female",NA,0,"Subject","None",NA
60,"Ash","San",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Subject","None",NA
61,"Mary","Sus",0,"Average","yes","Physical","7","Other","l",NA,"Female",NA,0,"Subject","None",NA
62,"Marg","Bet",1,"Average","yes","NonPhys","7","Other","l",1,"Female","152,0",0,"Partner","Subject",NA
63,"Marg","Kar",0,"Weak","no","NonPhys","1","Other","s",NA,"Female",NA,0,"Subject","None",NA
64,"Marg","Kev",1,"Weak","no","NonPhys","20","Other","l",NA,"Male","13,0",0,"Partner","Partner",NA
65,"Marg","Joh",1,"Strong","no","NonPhys","2","Other","m",1,"Female","12,0",0,"Partner","Partner",NA
66,"Marg","Mic",1,"Average","no","NonPhys","3","Other","m",1,"Female","6,0",0,"Partner","Partner",NA
67,"Marg","Jen",1,"Weak","no","NonPhys","3","Other","m",1,"Female","8,0",0,"Partner","Partner",NA
68,"Marg","Pat",1,"Average","yes","NonPhys","1004","Other","l",30,"Female","194,0",0,"Partner","Subject",NA
69,"Marg","Marg",0,"Average","no","NonPhys","4","Other","l",NA,"Male",NA,0,"Partner","None",NA
70,"Bet","Dav",1,"Weak","no","NonPhys","60","Food","l",1,"Female","30,0",0,"Subject","Subject",NA
71,"Bet","Dan",0,"Weak","no","NonPhys","4","Other","l",NA,"M",NA,0,"Subject","None",NA
72,"Emi","Kev",0,"Strong","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
73,"Lis","Jes",0,"Weak","no","NonPhys","2","Other","l",NA,"Female",NA,0,"Subject","None",NA
74,"Eli","Ant",1,"Strong","no","NonPhys","7","Other","l",35,"Male","321,0",0,"Partner","Partner",NA
75,"Mary","Mat",0,"Strong","yes","NonPhys","2","Other","l",NA,"Male",NA,0,"Partner","None",NA
76,"Mary","Mic",0,"Average","yes","NonPhys","51","Other","m",NA,"Female",NA,0,"Partner","None",NA
77,"Marg","Wil",1,"Average","no","NonPhys","10","Other","m",1,"Female","90,0",0,"Subject","Partner",NA
78,"Marg","Jes",1,"Weak","no","NonPhys","1","Other","l",4,"Female","108,0",0,"Partner","Partner",NA
79,"Marg","Lin",1,"Average","yes","NonPhys","1","Other","l",2,"Female","1,0",0,"Partner","beide",NA
80,"Ash","Jos",1,"Weak","no","NonPhys","1003","Other","m",5,"Female","37,0",0,"Partner","Subject",NA
81,"Emi","Dav",0,"Strong","n","NonPhys","2","Other","m",NA,"Female",NA,0,"Subject","None",NA
82,"Emi","Chr",0,"Average","no","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
83,"Deb","Ric",0,"Weak","no","NonPhys","11","Other","l",NA,"Female",NA,0,"Subject","None",NA
84,"Lis","Ama",1,"Strong","yes","NonPhys","1","Other","l",1,"Male","2,0",0,"Partner","Subject",NA
85,"Lis","Ant",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
86,"Marg","Lin",1,"Average","yes","NonPhys","1","Other","l",1,"Female","265,0",0,"Partner","Partner",NA
87,"Emi","Dav",0,"Strong","no","NonPhys","1","Other","m",NA,"Female",NA,1,"Subject","None",479
88,"Emi","Kev",0,"Strong","yes","NonPhys","1","Other","l",NA,"M",NA,0,"Partner","None",NA
89,"Emi","Dav",0,"Strong","no","NonPhys","1","Food","m",NA,"Female",NA,0,"Subject","None",NA
90,"Emi","Emi",0,"Average","yes","NonPhys","1","Food","l",NA,"Male",NA,0,"Partner","None",NA
91,"Emi","Mel",1,"Strong","no","NonPhys","5","Other","l",1,"Female","3,0",0,"Subject","Partner",NA
92,"Lis","Tim",0,"Weak","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
93,"Eli","Mic",1,"Strong","no","NonPhys","3","Other","s",2,"Female","12,0",0,"Partner","beide",NA
94,"Mary","Kev",0,"Average","yes","NonPhys","58","Other","l",NA,"Male",NA,0,"Partner","None",NA
95,"Mary","Ama",1,"Weak","no","NonPhys","2","Other","l",77,"Male","6,0",1,"Partner","Partner",128
96,"Mary","Ama",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
97,"Mary","Car",0,"Strong","yes","NonPhys","34","Other","m",NA,"Female",NA,0,"Partner","None",NA
98,"Lis","Wil",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Subject","None",NA
99,"Marg","Ron",0,"Average","yes","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
100,"Marg","DonM",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
101,"Marg","Mic",0,"Average","no","NonPhys","2","Other","m",NA,"Female",NA,0,"Partner","None",NA
102,"Marg","Lin",0,"Average","yes","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
103,"Marg","Mel",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Partner","None",NA
104,"Emi","Wil",1,"Average","no","NonPhys","146","Other","s",12,"Female","16,0",0,"Partner","Partner",NA
105,"Emi","Kar",0,"Weak","no","NonPhys","6","Other","m",NA,"Female",NA,0,"Subject","None",NA
106,"Emi","Tim",0,"Average","no","NonPhys","231","Other","l",NA,NA,NA,0,"Partner","None",NA
107,"Bet","Cha",0,"Average","no","NonPhys","1","Other","l",NA,"Female",NA,0,"Subject","None",NA
108,"Emi","Lin",0,"Strong","no","NonPhys","23","Other","m",NA,"Female",NA,0,"Partner","None",NA
109,"Emi","DonM",0,"Average","no","NonPhys","2","Food","l",NA,"Male",NA,0,"Partner","None",NA
110,"Emi","Step",0,"Weak","no","NonPhys","1","Food","l",NA,"Male",NA,0,"Partner","None",NA
111,"Mary","Car",1,"Strong","yes","NonPhys","2","Other","m",1,"Female","8,0",1,"Partner","Subject",560
112,"Mary","Car",0,"Strong","yes","NonPhys","1","Other","m",NA,"F",NA,0,"Partner","None",NA
113,"Mary","Tim",1,"Strong","no","NonPhys","4","Other","l",1,"Female","5,0",0,"Subject","Subject",NA
114,"Ash","DonF",1,"Average","yes","NonPhys","1","Other","l",107,"Male","1,0",0,"Partner","Partner",NA
115,"Ash","Lin",1,"Weak","no","NonPhys","10","Other","l",19,"Female","3,0",0,"Partner","Subject",NA
116,"Ash","And",1,"Strong","yes","NonPhys","1","Other","s",6,"Female","9,0",0,"Subject","Partner",NA
117,"Ash","Stev",0,"Strong","no","NonPhys","7","Other","l",NA,"Male",NA,0,"Partner","None",NA
118,"Eli","Jos",0,"Strong","yes","NonPhys","1","Other","m",NA,"Female",NA,0,"Subject","None",NA
119,"Mary","Ron",0,"Average","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
120,"Mary","Mat",0,"Strong","yes","NonPhys","102","Other","l",NA,"Male",NA,0,"Partner","None",NA
121,"Ash","Kar",1,"Average","yes","NonPhys","2","Other","m",1,"Female","10,0",0,"Subject","Subject",NA
122,"Ash","Kim",0,"Average","no","NonPhys","3","Other","m",NA,"Female",NA,0,"Subject","None",NA
123,"Ash","Nan",1,"Weak","no","NonPhys","2","Other","s",1,"Female","2,0",1,"Subject","Partner",87
124,"Ash","Nan",0,"Weak","no","NonPhys","30","Other","s",NA,"Female",NA,0,"Subject","None",NA
125,"Ash","Kar",0,"Average","yes","NonPhys","1","Other","m",NA,"Female",NA,0,"Partner","None",NA
126,"Emi","Dav",1,"Strong","no","NonPhys","6","Other","m",3,"Female","56,0",0,"Subject","Partner",NA
127,"Marg","Kev",0,"Weak","no","NonPhys","1","Other","l",NA,"Male",NA,0,"Partner","None",NA
